Flights ID,YEAR,MONTH,DOMESTIC,INTERNATIONAL,TOTAL
173,2017,5,77011,17295,94306
174,2017,6,76142,17932,94074
175,2017,7,78311,18891,97202
176,2017,8,78553,17568,96121
177,2017,9,68928,12778,81706
178,2017,10,75559,15007,90566
179,2017,11,69689,14062,83751
180,2017,12,73581,16631,90212
181,2018,1,72293,15612,87905
182,2018,2,67711,14307,82018
183,2018,3,75893,16863,92756
184,2018,4,74118,16567,90685
185,2018,5,77253,17133,94386
186,2018,6,77266,17672,94938
187,2018,7,79177,18423,97600
188,2018,8,79351,17185,96536
189,2018,9,73948,14136,88084
190,2018,10,78497,14896,93393
191,2018,11,74178,13765,87943
192,2018,12,74942,16032,90974
193,2019,1,75689,15696,91385
194,2019,2,70375,14260,84635
195,2019,3,78429,16242,94671
196,2019,4,74375,15005,89380
197,2019,5,79177,16118,95295
198,2019,6,76831,17467,94298
199,2019,7,79663,18393,98056
200,2019,8,81137,17354,98491
201,2019,9,76641,13547,90188
202,2019,10,80362,13848,94210
203,2019,11,77277,12855,90132
204,2019,12,79378,14908,94286
205,2020,1,75742,15157,90899
206,2020,2,71794,14206,86000
207,2020,3,65150,10554,75704
208,2020,4,25873,1458,27331
209,2020,5,21927,1555,23482
210,2020,6,27099,2507,29606
211,2020,7,45989,3992,49981
212,2020,8,46767,4099,50866
213,2020,9,38838,4394,43232
214,2020,10,40682,5876,46558
215,2020,11,38501,7756,46257
216,2020,12,38367,9386,47753
217,2021,1,75742,15157,90899
218,2021,2,32194,10337,42531
219,2021,3,47456,13527,60983
220,2021,4,52084,12959,65043
221,2021,5,60722,12512,73234
222,2021,6,68328,12761,81089
223,2021,7,72137,13554,85691
224,2021,8,70322,11842,82164
225,2021,9,66951,9883,76834
